scrape_datetime,article_name,publish_date,item_brand,item_description,discount,discount_cleaned,count_limit,channel,discount_period,item_original_price,source_url
2025-05-14 12:30:45.549,Costco November 2023 Hot Buys Coupons,2023-11-01,In,WAR8H0U$8 Wa1id II/4I/23: II/I9/23,,,,,November 11th through November 19th,,https://www.costcoinsider.com/wp-content/uploads/2023/11/Costco-November-2023-Hot-Buys-Cover.jpg
2025-05-14 12:30:47.157,Costco November 2023 Hot Buys Coupons,2023-11-01,Napdragon Miso Rarien,"R207,” 0FF [Lr I9. Pace varias iC i and PR, Ava1ia",,,,In-Warehouse,November 11th through November 19th,$2.70,https://www.costcoinsider.com/wp-content/uploads/2023/11/Costco-November-2023-Hot-Buys-Page-1-635x669.jpg
2025-05-14 12:30:48.873,Costco November 2023 Hot Buys Coupons,2023-11-01,Iy,Monster 8nergy? Ce1sivs Core $park1iig _ Ooiwd1é P,,,,In-Warehouse,November 11th through November 19th,$7.90,https://www.costcoinsider.com/wp-content/uploads/2023/11/Costco-November-2023-Hot-Buys-Page-2-635x655.jpg
2025-05-14 12:30:49.951,Costco November 2023 Hot Buys Coupons,2023-11-01,In,"0n1 e’ Vibe $park1 g 8nergy Or k; I8 Count, Variet",,,,In-Warehouse,November 11th through November 19th,$429.99,https://www.costcoinsider.com/wp-content/uploads/2023/11/Costco-November-2023-Hot-Buys-Page-3-635x617.jpg
2025-05-14 12:30:50.905,Costco November 2023 Hot Buys Coupons,2023-11-01,Wiih,800K C0$IC0” 'R00K costco: IRAV8L “IRAV8L IRAV8L i,,,,,November 11th through November 19th,,https://www.costcoinsider.com/wp-content/uploads/2023/11/Costco-November-2023-Hot-Buys-Page-4-635x603.jpg
2025-05-14 12:31:12.078,Costco January 2024 Hot Buys Coupons,2024-01-01,Ic,P0$ 0IN$IO8RO,,,,,January 20th through January 28th,,https://www.costcoinsider.com/wp-content/themes/Selin5.4/images/Costco-Insider4.png
2025-05-14 12:31:16.917,Costco January 2024 Hot Buys Coupons,2024-01-01,Er War,"house 0n1y__ Wareho11se 0n1y"" ‘ 0n1y :_ ‘0ns Oegre",,,,In-Warehouse,January 20th through January 28th,$2.90,https://www.costcoinsider.com/wp-content/uploads/2024/01/Costco-January-2024-Hot-Buys-Coupons-Page-1-635x636.jpg
2025-05-14 12:31:18.833,Costco January 2024 Hot Buys Coupons,2024-01-01,Warehdtise,0n1y Warehodse 0n1y” Warehiouge on1y kirk1and $ign,,,,In-Warehouse,January 20th through January 28th,$4.80,https://www.costcoinsider.com/wp-content/uploads/2024/01/Costco-January-2024-Hot-Buys-Coupons-Page-2-635x584.jpg
2025-05-14 12:31:19.845,Costco January 2024 Hot Buys Coupons,2024-01-01,Warehouse,0n1y In 0n1ine: In 0 Febveze A1 Freshener Fed 8u11,,,,In-Warehouse,January 20th through January 28th,$7.60,https://www.costcoinsider.com/wp-content/uploads/2024/01/Costco-January-2024-Hot-Buys-Coupons-Page-3-635x616.jpg
2025-05-14 12:31:24.923,Costco February 2024 Hot Buys Coupons,2024-02-01,Ic,P0$ 0IN$IO8RO,,,,,February 24th through March 3rd,,https://www.costcoinsider.com/wp-content/themes/Selin5.4/images/Costco-Insider4.png
2025-05-14 12:31:27.325,Costco February 2024 Hot Buys Coupons,2024-02-01,Iari,0v0RR0W: 2/24/24) Ma1idi2/24I22. #:3/3/24,,,,,February 24th through March 3rd,,https://www.costcoinsider.com/wp-content/uploads/2024/02/Costco-February-2024-Hot-Buys-Coupons-Cover.jpg
